FBRank,Team,Opp. Record (2023),Opp. Winning % (2023)
32,Browns,158-131,.547
31,Ravens,155-134,.536
30,Steelers,154-135,.533
29,Texans,152-137,.526
28,Packers,152-137,.526
27,Giants,149-140,.516
26,Bills,149-140,.516
25,Jaguars,148-141,.512
24,Raiders,148-141,.512
23,Patriots,148-141,.512
22,Lions,147-142,.509
21,Rams,146-143,.505
20,49ers,146-143,.505
19,Cowboys,146-143,.505
18,Jets,146-143,.505
17,Bengals,145-144,.502
16,Commanders,145-144,.502
15,Vikings,145-144,.502
14,Chiefs,145-144,.502
13,Broncos,143-146,.495
12,Colts,142-147,.491
11,Eagles,142-147,.491
10,Titans,142-147,.491
9,Cardinals,141-148,.488
8,Seahawks,141-148,.488
7,Dolphins,141-148,.488
6,Buccaneers,138-151,.478
5,Chargers,138-151,.478
4,Panthers,135-154,.467
3,Bears,135-154,.467
2,Saints,131-158,.453
1,Falcons,131-158,.453
