Date,Sport,System,Notes,Pick,BetType,FreeBet,Amount,Odds,Result,PushAmount,Group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-10-22,Football,Laghezza,,Darnell Mooney - 4 rec,Prop,N,$0.40,360.0,W,,1022 Darnell Mooney,360.0,$1.44,$1.84,22.0,$0.69,$1.84
2023-10-22,Football,Laghezza,,Darnell Mooney - 5 rec,Prop,N,$0.20,925.0,L,,1022 Darnell Mooney,925.0,$1.85,$2.05,10.0,$0.82,$-0.20
2023-10-22,Football,Laghezza,,Darnell Mooney - 6 rec,Prop,N,$0.20,1600.0,L,,1022 Darnell Mooney,1600.0,$3.20,$3.40,6.0,$0.81,$-0.20
2023-10-22,Football,Laghezza,,Mark Andrews - 6 rec,Prop,N,$0.60,185.0,L,,1022 Mark Andrews,185.0,$1.11,$1.71,35.0,$0.61,$-0.60
2023-10-22,Football,Laghezza,,Mark Andrews - 7 rec,Prop,N,$0.20,360.0,L,,1022 Mark Andrews,360.0,$0.72,$0.92,22.0,$0.84,$-0.20
2023-10-22,Football,Laghezza,,Mark Andrews - 8 rec,Prop,N,$0.20,700.0,L,,1022 Mark Andrews,700.0,$1.40,$1.60,12.0,$0.82,$-0.20
2023-10-22,Football,Laghezza,,Michael Mayer - 5 rec,Prop,N,$0.20,310.0,L,,1022 Michael Mayer,310.0,$0.62,$0.82,24.0,$0.85,$-0.20
2023-10-22,Football,Laghezza,,Michael Mayer - 6 rec,Prop,N,$0.20,550.0,L,,1022 Michael Mayer,550.0,$1.10,$1.30,15.0,$0.83,$-0.20
2023-10-22,Football,Laghezza,,Luke Musgrave - 5 rec,Prop,N,$0.40,280.0,L,,1022 Luke Musgrave,280.0,$1.12,$1.52,26.0,$0.70,$-0.40
2023-10-22,Football,Laghezza,,Luke Musgrave - 6 rec,Prop,N,$0.20,600.0,L,,1022 Luke Musgrave,600.0,$1.20,$1.40,14.0,$0.83,$-0.20
2023-10-22,Football,Laghezza,,Luke Musgrave - 7 rec,Prop,N,$0.20,1425.0,L,,1022 Luke Musgrave,1425.0,$2.85,$3.05,7.0,$0.81,$-0.20
2023-10-29,Football,Laghezza,,Tyler Conklin - 5 rec,Prop,N,$0.20,330.0,L,,1029 Tyler Conklin,330.0,$0.66,$0.86,23.0,$0.85,$-0.20
2023-10-29,Football,Laghezza,,Tyler Conklin - 6 rec,Prop,N,$0.20,725.0,L,,1029 Tyler Conklin,725.0,$1.45,$1.65,12.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Odell Beckham - 5 rec,Prop,N,$0.20,450.0,L,,1029 Odell Beckham,450.0,$0.90,$1.10,18.0,$0.84,$-0.20
2023-10-29,Football,Laghezza,,Odell Beckham - 6 rec,Prop,N,$0.20,1075.0,L,,1029 Odell Beckham,1075.0,$2.15,$2.35,9.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Darnell Mooney - 4 rec,Prop,N,$0.40,215.0,L,,1029 Darnell Mooney,215.0,$0.86,$1.26,32.0,$0.73,$-0.40
2023-10-29,Football,Laghezza,,Darnell Mooney - 5 rec,Prop,N,$0.20,500.0,L,,1029 Darnell Mooney,500.0,$1.00,$1.20,17.0,$0.83,$-0.20
2023-10-29,Football,Laghezza,,Darnell Mooney - 6 rec,Prop,N,$0.20,1125.0,L,,1029 Darnell Mooney,1125.0,$2.25,$2.45,8.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Michael Gallup - 6 rec,Prop,N,$0.20,725.0,L,,1029 Michael Gallup,725.0,$1.45,$1.65,12.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Emari Demarcado - 5 rec,Prop,N,$0.20,825.0,L,,1029 Emari Demarcado,825.0,$1.65,$1.85,11.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Cam Akers - 4 rec,Prop,N,$0.20,1225.0,L,,1029 Cam Akers,1225.0,$2.45,$2.65,8.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,$0.20,525.0,W,,1029 Breece Hall,525.0,$1.05,$1.25,16.0,$0.83,$1.25
2023-10-29,Football,Laghezza,,Demario Douglas - 5 rec,Prop,N,$0.20,550.0,W,,1029 Demario Douglas,550.0,$1.10,$1.30,15.0,$0.83,$1.30
2023-10-29,Football,Laghezza,,Jauan Jennings - 5 rec,Prop,N,$0.20,525.0,L,,1029 Jauan Jennings,525.0,$1.05,$1.25,16.0,$0.83,$-0.20
2023-10-29,Football,Laghezza,,Roschon Johnson - 4 rec,Prop,N,$0.40,360.0,L,,1029 Roschon Johnson,360.0,$1.44,$1.84,22.0,$0.69,$-0.40
2023-10-29,Football,Laghezza,,Roschon Johnson - 5 rec,Prop,N,$0.20,925.0,L,,1029 Roschon Johnson,925.0,$1.85,$2.05,10.0,$0.82,$-0.20
2023-10-29,Football,Laghezza,,Roschon Johnson - 6 rec,Prop,N,$0.20,1600.0,L,,1029 Roschon Johnson,1600.0,$3.20,$3.40,6.0,$0.81,$-0.20
2023-11-06,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,$0.20,360.0,L,,1106 Breece Hall,360.0,$0.72,$0.92,22.0,$0.84,$-0.20
2023-11-06,Football,Laghezza,,Breece Hall - 6 rec,Prop,N,$0.20,825.0,L,,1106 Breece Hall,825.0,$1.65,$1.85,11.0,$0.82,$-0.20
2023-11-06,Football,Laghezza,,Austin Ekeler - 75 rec yds,Prop,N,$0.20,825.0,L,,1106 Austin Ekeler,825.0,$1.65,$1.85,11.0,$0.82,$-0.20
2023-11-06,Hockey,Plus EV,,Edmonton -Vancouver over 6.5 goals,Over/Under,Y,$1.00,-150.0,W,,,150.0,$0.67,$0.67,60.0,$0.60,$0.67
2023-11-06,Basketball,Parlay IQ,,Chet Holmgren under 1.5 threes,Prop,Y,$1.00,105.0,W,,,105.0,$1.05,$1.05,49.0,$0.49,$1.05
2023-11-07,NCAAB,GameDay Math,,LaSalle,Moneyline,Y,$1.00,125.0,W,,,125.0,$1.25,$1.25,44.0,$0.44,$1.25
2023-11-07,NCAAB,GameDay Math,,Auburn,Moneyline,Y,$1.00,-120.0,L,,,120.0,$0.83,$0.83,55.0,$0.55,$0.00
2023-11-10,Basketball,GameDay Math,,Pelicans,Moneyline,Y,$1.00,105.0,L,,,105.0,$1.05,$1.05,49.0,$0.49,$0.00
2023-11-10,Football,GameDay Math,,LA Chargers,Moneyline,Y,$1.00,-150.0,L,,,150.0,$0.67,$0.67,60.0,$0.60,$0.00
2023-11-10,Soccer,GameDay Math,,Liverpool-Brentford over 3.5 goals,Over/Under,Y,$1.00,110.0,L,,,110.0,$1.10,$1.10,48.0,$0.48,$0.00
2023-11-10,Football,GameDay Math	,,Giants +7,Spread,Y,$1.00,105.0,W,,,105.0,$1.05,$1.05,49.0,$0.49,$1.05
2023-11-10,Football,Intuition,,Broncos,Moneyline,Y,$1.00,275.0,W,,,275.0,$2.75,$2.75,27.0,$0.27,$2.75
2023-11-11,Basketball,ParlayIQ,,Steph Curry over 4.5 rebounds,Prop,Y,$1.00,110.0,L,,,110.0,$1.10,$1.10,48.0,$0.48,$0.00
2023-11-11,Basketball,ParlayIQ,,Darius Garland over 3.5 assists,Prop,Y,$1.00,-105.0,W,,,105.0,$0.95,$0.95,51.0,$0.51,$0.95
2023-11-11,Basketball,ParlayIQ,,Jalen Suggs over 2.5 assists,Prop,Y,$1.00,130.0,L,,,130.0,$1.30,$1.30,43.0,$0.43,$0.00
2023-11-30,Football,Outlier,,Boye Mafe over 0.25 sacks,Prop,Y,$1.00,195.0,L,,,195.0,$1.95,$1.95,34.0,$0.34,$0.00
2023-11-30,Football,Outlier,,Mike Evans- score TD,Prop,Y,$1.00,150.0,W,,,150.0,$1.50,$1.50,40.0,$0.40,$1.50
2023-11-30,Football,Outlier,,Kenny Pickett under 0.5 TDs,Prop,Y,$0.50,190.0,W,,,190.0,$0.95,$0.95,34.0,$0.67,$0.95
2023-11-30,Football,Outlier,,Ji'Aiyir Brown under 4.5 tackles and assists,Prop,Y,$1.00,115.0,L,,,115.0,$1.15,$1.15,47.0,$0.47,$0.00
2023-11-30,Football,Outlier,,George Karlaftis over 0.25 sacks,Prop,Y,$1.00,110.0,L,,,110.0,$1.10,$1.10,48.0,$0.48,$0.00
2023-11-30,Football,Outlier,,Jordan Whitehead over 3.5 tackles,Prop,Y,$1.00,125.0,W,,,125.0,$1.25,$1.25,44.0,$0.44,$1.25
2023-11-30,Football,Outlier,,Quincy Williams over 4.5 tackles,Prop,Y,$1.00,110.0,L,,,110.0,$1.10,$1.10,48.0,$0.48,$0.00
2023-11-30,Football,Outlier,,Tua over 0.5 passing INTs,Prop,Y,$1.00,105.0,L,,,105.0,$1.05,$1.05,49.0,$0.49,$0.00
2023-11-30,Basketball,CNM,,UC Davis,Moneyline,Y,$1.00,125.0,L,,,125.0,$1.25,$1.25,44.0,$0.44,$0.00
2023-11-30,Football,CNM,,Jreed Goff over 35.5 pass attempts,Prop,Y,$1.00,-110.0,L,,,110.0,$0.91,$0.91,52.0,$0.52,$0.00
2023-11-30,Football,CNM,,Rashee Rice over 4.5 rec,Prop,Y,$1.00,-115.0,W,,,115.0,$0.87,$0.87,53.0,$0.53,$0.87
2023-11-30,Football,Intuition,,Broncos,Moneyline,Y,$1.00,150.0,L,,,150.0,$1.50,$1.50,40.0,$0.40,$0.00
2023-12-04,NCAAB,CNM,,San Jose State,Moneyline,Y,$33.00,115.0,L,,,115.0,$37.95,$37.95,47.0,$-1.49,$0.00
2023-12-04,Basketball,CNM,,Suns,Moneyline,Y,$33.00,110.0,L,,,110.0,$36.30,$36.30,48.0,$-1.16,$0.00
2023-12-05,Basketball,CNM,Odds boost,25+ points- Giannis and Jalen Brunson,Prop,Y,$15.00,225.0,L,,,225.0,$33.75,$33.75,31.0,$-5.35,$0.00
2023-12-09,Basketball,CNM,Odds boost,"Double Double- Lebron James, Anthony Davis, Tyrese Halliburton",Prop,Y,$30.00,162.0,W,,,162.0,$48.60,$48.60,38.0,$-6.60,$48.60
