name,bet_amount,odds,bet_group
Tua Tagovailoa,0.1,2200,NFL MVP
Patrick Mahomes,0.1,700,NFL MVP
Jalen Hurts,0.1,1100,NFL MVP
Lamar Jackson,0.1,1500,NFL MVP
Jamarr Chase,0.1,1100,Offensive Player of the Year
Justin Jefferson,0.1,1300,Offensive Player of the Year
Aidan Hutchinson,0.11,2500,Defensive Player of the Year
Micah Parsons,0.1,650,Defensive Player of the Year
Matt Eberflus,0.1,1100,Coach of the Year
Kyle Shanahan,0.1,3000,Coach of the Year
Tua Tagovailoa,0.1,1600,Most Passing TDs
Joe Burrow,0.1,450,Most Passing TDs
Calvin Ridley,0.1,5000,Most Receiving Yards
Justin Jefferson,0.1,550,Most Receiving Yards
Tyreek Hill,0.1,900,Most Receiving Yards
Cooper Kupp,0.1,500,Most Receptions
Amon-Ra St. Brown,0.1,1800,Most Receptions
Jordan Addison,0.1,300,Rookie Receving Yard Leaders
Quentin Johnson,0.1,350,Rookie Receving Yard Leaders
Rashee Rice,0.1,1800,Rookie Receving Yard Leaders
Jahmyr Gibbs,0.1,3500,Rookie Receving Yard Leaders
Russell Wilson,0.1,2000,Comeback Player of the Year
Lamar Jackson,0.1,2500,Comeback Player of the Year
Jokic,0.1,450,NBA MVP
Giannis,0.1,550,NBA MVP
Embiid,0.1,650,NBA MVP
Tatum,0.1,900,NBA MVP
Holmgren,0.1,350,NBA ROY
Whitmore,0.1,2000,NBA ROY
Brandon Miller,0.1,1200,NBA ROY
Henderson,0.1,400,NBA ROY
Devin Booker,0.1,5000,NBA Most PPG
Shai Gilgeous Alexander,0.1,400,NBA Most PPG
Nikola Jokic,0.1,360,NBA Most Rebounds
Rudy Gobert,0.1,400,NBA Most Rebounds
Jonas Valaciunas,0.1,2800,NBA Most Rebounds
Trae Young,0.1,10000,NBA Most PPG
