PlayerId,Player
18401,Ronald Acuna
13611,Mookie Betts
25764,Bobby Witt
18345,Kyle Tucker
25878,Corbin Carroll
23697,Julio Rodriguez
5361,Freddie Freeman
20123,Juan Soto
15640,Aaron Judge
27498,Spencer Strider
19709,Fernando Tatis
0,Shohei Ohtani Batter
13125,Gerrit Cole
13510,Jose Ramirez
14344,Matt Olson
19556,Yordan Alvarez
16252,Trea Turner
18360,Austin Riley
19361,Corbin Burnes
17350,Rafael Devers
11579,Bryce Harper
16556,Ozzie Albies
13624,Corey Seager
19611,Vladimir Guerrero
12533,Marcus Semien
10310,Zack Wheeler
19251,Pete Alonso
14107,Kevin Gausman
12916,Francisco Lindor
15689,Luis Castillo
26289,Gunnar Henderson
19291,Zac Gallen
25931,Michael Harris
5417,Jose Altuve
0,Pablo Lopez
20043,Luis Robert
19612,Bo Bichette
26288,Adley Rutschman
26668,Elly De La Cruz
25436,George Kirby
14374,Tyler Glasnow
16149,Aaron Nola
19290,Randy Arozarena
19287,Adolis Garcia
13743,Max Fried
15816,Devin Williams
0,Yoshinobu Yamamoto
17995,Logan Webb
22267,Tarik Skubal
11493,Manny Machado
17295,Framber Valdez
15998,Cody Bellinger
10155,Mike Trout
18679,Freddy Peralta
13543,Blake Snell
14212,Josh Hader
21479,Nico Hoerner
25768,CJ Abrams
21032,Emmanuel Clase
0,Edwin Diaz
31838,Kodai Senga
16478,Kyle Schwarber
29695,Matt McLain
9218,Paul Goldschmidt
20437,Royce Lewis
20529,Nolan Jones
22250,Logan Gilbert
17678,Alex Bregman
24492,Grayson Rodriguez
19197,Will Smith
21992,Camilo Doval
11477,Christian Yelich
11609,William Contreras
20503,William Contreras
11739,JT Realmuto
21029,Jhoan Duran
13774,Zach Eflin
9777,Nolan Arenado
19959,Jesus Luzardo
13419,Christian Walker
19326,Bryan Reynolds
20454,Jazz Chisholm
27506,HaSeong Kim
17130,Raisel Iglesias
27483,Bobby Miller
0,Oneil Cruz
16122,Jordan Romano
19569,David Bednar
24586,Kyle Bradish
16997,Gleyber Torres
21390,Joe Ryan
17312,Justin Steele
19953,Josh Lowe
18525,Dylan Cease
0,Alexis Diaz
12970,Joe Musgrove
26323,Spencer Steer
12161,Xander Bogaerts
22514,Triston Casas
0,Eury Perez
