Date,Player,Team,Receptions,Amount,Odds,Result,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-10-22,Darnell Mooney,CHI,4,$0.40,360.0,L,360.0,$1.44,$1.84,22.0,$0.69,$-0.40
2023-10-22,Darnell Mooney,CHI,5,$0.20,925.0,L,925.0,$1.85,$2.05,10.0,$0.82,$-0.20
2023-10-22,Darnell Mooney,CHI,6,$0.20,1600.0,L,1600.0,$3.20,$3.40,6.0,$0.81,$-0.20
2023-10-22,Mark Andrews,BAL,6,$0.60,215.0,L,215.0,$1.29,$1.89,32.0,$0.59,$-0.60
2023-10-22,Mark Andrews,BAL,7,$0.20,425.0,L,425.0,$0.85,$1.05,19.0,$0.84,$-0.20
2023-10-22,Mark Andrews,BAL,8,$0.20,825.0,L,825.0,$1.65,$1.85,11.0,$0.82,$-0.20
2023-10-22,Michael Mayer,LV,4,$0.20,390.0,L,390.0,$0.78,$0.98,20.0,$0.84,$-0.20
2023-10-22,Michael Mayer,LV,5,$0.20,1025.0,L,1025.0,$2.05,$2.25,9.0,$0.82,$-0.20
2023-10-22,Luke Musgrave,GB,5,$0.40,240.0,L,240.0,$0.96,$1.36,29.0,$0.72,$-0.40
2023-10-22,Luke Musgrave,GB,6,$0.20,525.0,L,525.0,$1.05,$1.25,16.0,$0.83,$-0.20
2023-10-22,Luke Musgrave,GB,7,$0.20,1125.0,L,1125.0,$2.25,$2.45,8.0,$0.82,$-0.20
2023-10-29,Tyler Conklin,NYJ,5,$0.20,330.0,L,330.0,$0.66,$0.86,23.0,$0.85,$-0.20
2023-10-29,Tyler Conklin,NYJ,6,$0.20,825.0,L,825.0,$1.65,$1.85,11.0,$0.82,$-0.20
2023-10-29,Odell Beckham,BAL,5,$0.20,450.0,P,450.0,$0.90,$1.10,18.0,$0.84,$0.00
2023-10-29,Odell Beckham,BAL,6,$0.20,1075.0,P,1075.0,$2.15,$2.35,9.0,$0.82,$0.00
2023-10-29,Darnell Mooney,CHI,4,$0.40,270.0,P,270.0,$1.08,$1.48,27.0,$0.71,$0.00
2023-10-29,Darnell Mooney,CHI,5,$0.20,650.0,P,650.0,$1.30,$1.50,13.0,$0.83,$0.00
2023-10-29,Darnell Mooney,CHI,6,$0.20,1450.0,P,1450.0,$2.90,$3.10,6.0,$0.81,$0.00
2023-10-29,Michael Gallup,DAL,6,$0.20,675.0,L,675.0,$1.35,$1.55,13.0,$0.83,$-0.20
2023-10-29,Emari Demarcado,ARI,5,$0.20,925.0,P,925.0,$1.85,$2.05,10.0,$0.82,$0.00
2023-10-29,Cam Akers,MIN,4,$0.20,1425.0,L,1425.0,$2.85,$3.05,7.0,$0.81,$-0.20
2023-10-29,Breece Hall,NYJ,5,$0.20,525.0,W,525.0,$1.05,$1.25,16.0,$0.83,$1.25
2023-10-29,Demario Douglas,NE,5,$0.20,575.0,W,575.0,$1.15,$1.35,15.0,$0.83,$1.35
2023-10-29,Jauan Jennings,SF,5,$0.20,600.0,P,600.0,$1.20,$1.40,14.0,$0.83,$0.00
2023-10-29,Roschon Johnson,CHI,4,$0.40,270.0,P,270.0,$1.08,$1.48,27.0,$0.71,$0.00
2023-10-29,Roschon Johnson,CHI,5,$0.20,650.0,P,650.0,$1.30,$1.50,13.0,$0.83,$0.00
2023-10-29,Roschon Johnson,CHI,6,$0.20,1450.0,P,1450.0,$2.90,$3.10,6.0,$0.81,$0.00
