Team,Conf,comp_mean,human_mean,final_rank,seed
Houston,B12,1.5454545454545454,,1.5454545454545454,1
Purdue,B10,2.1272727272727274,,2.1272727272727274,2
Connecticut,BE,3.018181818181818,,3.018181818181818,3
Tennessee,SEC,4.7272727272727275,,4.7272727272727275,4
Arizona,P12,5.290909090909091,,5.290909090909091,5
North Carolina,ACC,6.654545454545454,,6.654545454545454,6
Auburn,SEC,7.636363636363637,,7.636363636363637,7
Iowa St,B12,10.272727272727273,,10.272727272727273,9
Duke,ACC,10.4,,10.4,8
Creighton,BE,11.618181818181819,,11.618181818181819,10
Alabama,SEC,12.254545454545454,,12.254545454545454,12
Marquette,BE,12.563636363636364,,12.563636363636364,11
Illinois,B10,12.8,,12.8,13
Baylor,B12,14.8,,14.8,14
Kansas,B12,15.581818181818182,,15.581818181818182,15
Kentucky,SEC,16.563636363636363,,16.563636363636363,16
Gonzaga,WCC,17.87272727272727,,17.87272727272727,17
BYU,B12,19.363636363636363,,19.363636363636363,18
Clemson,ACC,25.563636363636363,,25.563636363636363,19
Texas Tech,B12,27.054545454545455,,27.054545454545455,20
San Diego St,MWC,27.70909090909091,,27.70909090909091,23
Dayton,A10,28.2,,28.2,21
Texas,B12,28.254545454545454,,28.254545454545454,24
St Mary's CA,WCC,29.01818181818182,,29.01818181818182,22
Nevada,MWC,29.236363636363638,,29.236363636363638,25
Florida,SEC,29.345454545454544,,29.345454545454544,26
Wisconsin,B10,30.636363636363637,,30.636363636363637,28
Nebraska,B10,30.836363636363636,,30.836363636363636,30
Colorado,P12,31.2,,31.2,32
Michigan St,B10,31.272727272727273,,31.272727272727273,27
FL Atlantic,AAC,31.636363636363637,,31.636363636363637,31
South Carolina,SEC,33.61818181818182,,33.61818181818182,29
Utah St,MWC,33.872727272727275,,33.872727272727275,33
Boise St,MWC,37.236363636363635,,37.236363636363635,35
TCU,B12,37.58181818181818,,37.58181818181818,34
New Mexico,MWC,38.527272727272724,,38.527272727272724,37
Washington St,P12,38.836363636363636,,38.836363636363636,36
Indiana St,MVC,39.29090909090909,,39.29090909090909,38
Northwestern,B10,39.836363636363636,,39.836363636363636,39
Drake,MVC,40.38181818181818,,40.38181818181818,41
Oklahoma,B12,40.54545454545455,,40.54545454545455,42
Colorado St,MWC,40.78181818181818,,40.78181818181818,43
St John's,BE,41.018181818181816,,41.018181818181816,40
Mississippi St,SEC,42.345454545454544,,42.345454545454544,44
Wake Forest,ACC,43.345454545454544,,43.345454545454544,45
Pittsburgh,ACC,44.54545454545455,,44.54545454545455,47
Villanova,BE,45.36363636363637,,45.36363636363637,46
Grand Canyon,WAC,51.472727272727276,,51.472727272727276,51
Princeton,Ivy,56.74545454545454,,56.74545454545454,55
James Madison,SBC,57.81818181818182,,57.81818181818182,56
McNeese St,SLC,71.7090909090909,,71.7090909090909,70
Samford,SC,75.2,,75.2,75
UC Irvine,BWC,77.58181818181818,,77.58181818181818,81
Col Charleston,CAA,87.07272727272728,,87.07272727272728,89
Vermont,AEC,92.81818181818181,,92.81818181818181,95
Louisiana Tech,CUSA,97.07272727272728,,97.07272727272728,100
High Point,BSo,115.30909090909091,,115.30909090909091,113
Morehead St,OVC,116.72727272727273,,116.72727272727273,114
Akron,MAC,118.0,,118.0,115
Oakland,HL,125.30909090909091,,125.30909090909091,124
Colgate,PL,136.21818181818182,,136.21818181818182,132
E Washington,BSC,142.47272727272727,,142.47272727272727,141
S Dakota St,SL,150.4,,150.4,152
Quinnipiac,MAAC,160.14545454545456,,160.14545454545456,158
Lipscomb,ASUN,165.8,,165.8,163
Merrimack,NEC,203.4181818181818,,203.4181818181818,199
Norfolk St,MEAC,216.01818181818183,,216.01818181818183,217
Southern Univ,SWAC,243.65454545454546,,243.65454545454546,245
Chicago St,I Ind,292.8545454545455,,292.8545454545455,297
